deletion_rate	grand_mean	grand_mean_lb	grand_mean_ub	sample_size_for_rma_calc	imputation_method	data_size	effect_size
0.2	-0.104643719327125	-0.151611713767913	-0.0576757248863362	487	sample	1	ROM
0.2	-0.103705374556688	-0.150579919490272	-0.0568308296231045	487	sample	1	ROM
0.21	-0.103794099556734	-0.150172430184488	-0.0574157689289806	487	sample	1	ROM
0.21	-0.105388530741591	-0.152489436032547	-0.058287625450635	487	sample	1	ROM
0.22	-0.109594497031089	-0.157317361470449	-0.0618716325917293	487	sample	1	ROM
0.22	-0.104598814404728	-0.151408009075932	-0.057789619733523	487	sample	1	ROM
0.23	-0.104895670084932	-0.151804665666152	-0.0579866745037121	487	sample	1	ROM
0.23	-0.103685170028641	-0.150709690099865	-0.0566606499574168	487	sample	1	ROM
0.24	-0.103114155301585	-0.15000126992203	-0.0562270406811406	487	sample	1	ROM
0.24	-0.104238709360921	-0.151130065094953	-0.0573473536268876	487	sample	1	ROM
0.25	-0.105046738317128	-0.151949898278073	-0.0581435783561824	487	sample	1	ROM
0.25	-0.103541814492199	-0.150503382907573	-0.056580246076825	487	sample	1	ROM
0.26	-0.106333768845831	-0.153167988391135	-0.0594995493005282	487	sample	1	ROM
0.26	-0.105337049958431	-0.151892982941536	-0.0587811169753262	487	sample	1	ROM
0.27	-0.106793562304704	-0.153916223331642	-0.0596709012777668	487	sample	1	ROM
0.27	-0.105750924878774	-0.15276747385109	-0.0587343759064578	487	sample	1	ROM
0.28	-0.103534001541414	-0.15031194831667	-0.0567560547661571	487	sample	1	ROM
0.28	-0.108497297766512	-0.155764813389238	-0.061229782143787	487	sample	1	ROM
0.29	-0.103994246932739	-0.150819233185682	-0.0571692606797951	487	sample	1	ROM
0.29	-0.104396473767519	-0.151107307682272	-0.0576856398527659	487	sample	1	ROM
0.3	-0.10571375785241	-0.152640547348715	-0.0587869683561045	487	sample	1	ROM
0.3	-0.102204298613803	-0.149148118262966	-0.0552604789646394	487	sample	1	ROM
0.31	-0.104585189863122	-0.151522265396254	-0.0576481143299897	487	sample	1	ROM
0.31	-0.105116088307448	-0.151978600737637	-0.0582535758772584	487	sample	1	ROM
0.32	-0.105197651994785	-0.152073317479387	-0.0583219865101832	487	sample	1	ROM
0.32	-0.10341174960579	-0.150068289554396	-0.0567552096571852	487	sample	1	ROM
