deletion_rate	grand_mean	grand_mean_lb	grand_mean_ub	sample_size_for_rma_calc	imputation_method	data_size	effect_size
0.02	-0.201664470675129	-0.37051023551601	-0.0328187058342483	47	na.omit	0.1	ROM
0.02	-0.100884429505772	-0.26707615845974	0.0653072994481957	47	na.omit	0.1	ROM
0.03	-0.131174768678594	-0.269125406355631	0.00677586899844407	47	na.omit	0.1	ROM
0.03	-0.170359915048132	-0.318793992341562	-0.0219258377547023	47	na.omit	0.1	ROM
0.04	-0.124178671088918	-0.239169386306971	-0.00918795587086457	46	na.omit	0.1	ROM
0.04	-0.191897146882064	-0.378693195540981	-0.00510109822314653	46	na.omit	0.1	ROM
0.05	-0.129752898948082	-0.265614576067374	0.00610877817121022	46	na.omit	0.1	ROM
0.05	-0.141887611535877	-0.262959348856384	-0.0208158742153694	46	na.omit	0.1	ROM
0.06	-0.143034752533925	-0.281357143193252	-0.0047123618745977	45	na.omit	0.1	ROM
0.06	-0.143570385329463	-0.380984691091675	0.0938439204327497	45	na.omit	0.1	ROM
0.07	-0.0982555227220852	-0.241158609598433	0.0446475641542626	45	na.omit	0.1	ROM
0.07	-0.0306140374096157	-0.141673383027973	0.0804453082087412	45	na.omit	0.1	ROM
0.08	-0.191573843537595	-0.362302792689095	-0.0208448943860958	44	na.omit	0.1	ROM
0.08	-0.0483562988696427	-0.194726345427182	0.0980137476878962	44	na.omit	0.1	ROM
0.09	-0.1281827358528	-0.238462965845331	-0.0179025058602684	44	na.omit	0.1	ROM
0.09	-0.089951704984794	-0.198813340584275	0.0189099306146865	44	na.omit	0.1	ROM
0.1	-0.059640539424698	-0.21603667358563	0.096755594736234	43	na.omit	0.1	ROM
0.1	-0.081702896734582	-0.242583847181255	0.0791780537120907	43	na.omit	0.1	ROM
0.11	-0.196015782813554	-0.31064260578314	-0.0813889598439668	43	na.omit	0.1	ROM
0.11	-0.216053524556262	-0.385470784369282	-0.0466362647432424	43	na.omit	0.1	ROM
0.12	-0.260626604197261	-0.556218268252481	0.0349650598579589	42	na.omit	0.1	ROM
0.12	-0.160603049652913	-0.372105089238444	0.0508989899326192	42	na.omit	0.1	ROM
0.13	-0.369985628768612	-0.714774832950612	-0.0251964245866111	42	na.omit	0.1	ROM
0.13	-0.00346676861845092	-0.126190005147795	0.119256467910894	42	na.omit	0.1	ROM
0.14	-0.22029562126668	-0.367525904306257	-0.0730653382271023	41	na.omit	0.1	ROM
0.14	-0.0341543028726138	-0.183701408246219	0.115392802500992	41	na.omit	0.1	ROM
0.15	-0.0085988487964135	-0.141074473443222	0.123876775850395	41	na.omit	0.1	ROM
0.15	-0.329971625477791	-0.548893922569181	-0.111049328386401	41	na.omit	0.1	ROM
0.16	0.0433557287309127	-0.114715379206561	0.201426836668386	40	na.omit	0.1	ROM
0.16	-0.234120517898678	-0.435893992989995	-0.0323470428073614	40	na.omit	0.1	ROM
0.17	0.0536584632987012	-0.113456251116006	0.220773177713408	40	na.omit	0.1	ROM
0.17	-0.19322367374995	-0.37506228470412	-0.0113850627957798	40	na.omit	0.1	ROM
0.18	-0.0969024326308969	-0.27429406140114	0.0804891961393463	39	na.omit	0.1	ROM
0.18	-0.127621530691542	-0.407032304663513	0.15178924328043	39	na.omit	0.1	ROM
0.19	0.0113990928102742	-0.132567038764962	0.155365224385511	39	na.omit	0.1	ROM
0.19	-0.0984345752307845	-0.279449158081083	0.0825800076195139	39	na.omit	0.1	ROM
0.2	-0.0171836840222115	-0.169013806867517	0.134646438823094	38	na.omit	0.1	ROM
0.2	-0.0900191642291706	-0.204584129295126	0.0245458008367843	38	na.omit	0.1	ROM
0.21	-0.0657939658181275	-0.219726784246839	0.0881388526105836	38	na.omit	0.1	ROM
0.21	-0.148144880158507	-0.342507178512712	0.0462174181956986	38	na.omit	0.1	ROM
0.22	-0.189505649000487	-0.318920557519058	-0.0600907404819154	37	na.omit	0.1	ROM
0.22	-0.0757729303611887	-0.273117981534159	0.121572120811782	37	na.omit	0.1	ROM
0.23	0.0282272815740539	-0.112307202816418	0.168761765964526	37	na.omit	0.1	ROM
