deletion_rate	grand_mean	grand_mean_lb	grand_mean_ub	sample_size_for_rma_calc	imputation_method	data_size	effect_size
0.02	-0.148938771891399	-0.226346919148223	-0.0715306246345746	238	na.omit	0.5	ROM
0.02	-0.118201911303657	-0.189317582509782	-0.0470862400975317	238	na.omit	0.5	ROM
0.03	-0.154258322899805	-0.22879988189803	-0.0797167639015789	236	na.omit	0.5	ROM
0.03	-0.0631957502813616	-0.121557292540756	-0.00483420802196723	236	na.omit	0.5	ROM
0.04	-0.0680660209698424	-0.127240685464035	-0.00889135647564926	233	na.omit	0.5	ROM
0.04	-0.127760930695239	-0.202534072062591	-0.052987789327887	233	na.omit	0.5	ROM
0.05	-0.155702966127449	-0.229793423218817	-0.0816125090360808	231	na.omit	0.5	ROM
0.05	-0.0999778659953087	-0.160680539537502	-0.0392751924531149	231	na.omit	0.5	ROM
0.06	-0.167372504654843	-0.241534082174067	-0.0932109271356182	228	na.omit	0.5	ROM
0.06	-0.0987946229125664	-0.178275923563915	-0.0193133222612175	228	na.omit	0.5	ROM
0.07	-0.0632358992563221	-0.125766453063226	-0.000705345449418027	226	na.omit	0.5	ROM
0.07	-0.123867021758388	-0.189334547248042	-0.0583994962687351	226	na.omit	0.5	ROM
0.08	-0.090057577989999	-0.166741697914951	-0.0133734580650469	224	na.omit	0.5	ROM
0.08	-0.117457429585414	-0.178189312245593	-0.0567255469252338	224	na.omit	0.5	ROM
0.09	-0.0918041767745713	-0.153741193846214	-0.0298671597029281	221	na.omit	0.5	ROM
0.09	-0.0940998923943223	-0.152787570153987	-0.0354122146346579	221	na.omit	0.5	ROM
0.1	-0.138980986373748	-0.218947600828565	-0.0590143719189309	219	na.omit	0.5	ROM
0.1	-0.0756490568924973	-0.151067816925426	-0.000230296859568449	219	na.omit	0.5	ROM
0.11	-0.0899779972807646	-0.170138542482064	-0.00981745207946559	216	na.omit	0.5	ROM
0.11	-0.0835466323883405	-0.141569133136413	-0.0255241316402677	216	na.omit	0.5	ROM
0.12	-0.141023796848846	-0.207287917607558	-0.0747596760901345	214	na.omit	0.5	ROM
0.12	-0.0850356321681284	-0.161866581127091	-0.00820468320916604	214	na.omit	0.5	ROM
0.13	-0.1204978458279	-0.196726008449081	-0.0442696832067198	211	na.omit	0.5	ROM
0.13	-0.162589602376908	-0.24729747800982	-0.0778817267439969	211	na.omit	0.5	ROM
0.14	-0.0670781760638713	-0.117994679030216	-0.0161616730975267	209	na.omit	0.5	ROM
0.14	-0.169176369557641	-0.250510122240627	-0.0878426168746541	209	na.omit	0.5	ROM
