deletion_rate	grand_mean	grand_mean_lb	grand_mean_ub	sample_size_for_rma_calc	imputation_method	data_size	effect_size	full_grand_mean	full_grand_mean_lb	full_grand_mean_ub	full_sample_size_for_rma_calc
0.02	-0.0985250862780729	-0.144900550357555	-0.0521496221985911	477	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.02	-0.113395740838202	-0.160361546145223	-0.0664299355311815	477	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.03	-0.110274910488312	-0.158201385772289	-0.0623484352043348	472	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.03	-0.105915263022843	-0.153400978382938	-0.0584295476627486	472	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.04	-0.10547460480098	-0.153211206224938	-0.0577380033770225	468	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.04	-0.10602871013634	-0.154402307629115	-0.0576551126435653	468	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.05	-0.105516571186889	-0.153331455728577	-0.0577016866452015	463	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.05	-0.113685483912076	-0.162147994955186	-0.0652229728689657	463	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.06	-0.105413993440274	-0.153940934587513	-0.0568870522930357	458	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.06	-0.0892798711320109	-0.13650551349298	-0.0420542287710414	458	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.07	-0.102938949941474	-0.151265153382346	-0.0546127465006025	453	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.07	-0.100583617934402	-0.147906490858862	-0.0532607450099413	453	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.08	-0.115133584932458	-0.163944162096521	-0.066323007768394	448	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.08	-0.109674429112132	-0.157789918975124	-0.0615589392491389	448	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.09	-0.113225942509564	-0.163965952991763	-0.0624859320273655	443	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.09	-0.109304044447821	-0.158675694269815	-0.0599323946258278	443	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.1	-0.107308249205363	-0.158348664821043	-0.0562678335896818	438	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.1	-0.107809429811531	-0.158341492818694	-0.057277366804367	438	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.11	-0.102026405487696	-0.153065163930997	-0.0509876470443947	433	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
