deletion_rate	grand_mean	grand_mean_lb	grand_mean_ub	sample_size_for_rma_calc	imputation_method	data_size	effect_size
0.02	-0.105084886851187	-0.152626614928036	-0.0575431587743392	477	na.omit	1	ROM
0.02	-0.108414162964375	-0.156034497684439	-0.0607938282443112	477	na.omit	1	ROM
0.03	-0.108109162951194	-0.156276322647175	-0.0599420032552133	472	na.omit	1	ROM
0.03	-0.107059054055127	-0.155110238180097	-0.0590078699301578	472	na.omit	1	ROM
0.04	-0.10832996000935	-0.156564711706356	-0.0600952083123431	468	na.omit	1	ROM
0.04	-0.109436581450483	-0.158125662878418	-0.060747500022547	468	na.omit	1	ROM
0.05	-0.113103187202817	-0.161753881612045	-0.0644524927935883	463	na.omit	1	ROM
0.05	-0.111303800611159	-0.16044471358459	-0.0621628876377285	463	na.omit	1	ROM
0.06	-0.11592652231378	-0.165424965389131	-0.0664280792384284	458	na.omit	1	ROM
0.06	-0.111384581002513	-0.160903696294267	-0.0618654657107588	458	na.omit	1	ROM
0.07	-0.11198236599337	-0.162199664134674	-0.0617650678520668	453	na.omit	1	ROM
0.07	-0.122754162391631	-0.171933083070491	-0.0735752417127715	453	na.omit	1	ROM
0.08	-0.115355424728316	-0.165838916851595	-0.0648719326050371	448	na.omit	1	ROM
0.08	-0.11734963086725	-0.167702980056129	-0.0669962816783715	448	na.omit	1	ROM
0.09	-0.117329989601093	-0.168327075804186	-0.0663329033980001	443	na.omit	1	ROM
0.09	-0.108144498649575	-0.15946013847773	-0.0568288588214191	443	na.omit	1	ROM
0.1	-0.115248369083014	-0.166394629334273	-0.0641021088317547	438	na.omit	1	ROM
0.1	-0.108699077244105	-0.159827159405724	-0.0575709950824854	438	na.omit	1	ROM
0.11	-0.120226938857193	-0.17284617789455	-0.0676076998198352	433	na.omit	1	ROM
0.11	-0.123202476256908	-0.174998258761119	-0.0714066937526966	433	na.omit	1	ROM
0.12	-0.11735110863867	-0.170204334917699	-0.0644978823596411	429	na.omit	1	ROM
0.12	-0.113277728292391	-0.165918587048852	-0.0606368695359308	429	na.omit	1	ROM
0.13	-0.122380016089049	-0.176007489029036	-0.0687525431490612	424	na.omit	1	ROM
0.13	-0.118461998375328	-0.17015436640545	-0.0667696303452062	424	na.omit	1	ROM
0.14	-0.119995717675938	-0.174234951724917	-0.0657564836269591	419	na.omit	1	ROM
0.14	-0.112130562756468	-0.165610662917909	-0.0586504625950279	419	na.omit	1	ROM
0.15	-0.120078104996551	-0.174827380528295	-0.0653288294648083	414	na.omit	1	ROM
0.15	-0.128490808960513	-0.183308584942712	-0.0736730329783147	414	na.omit	1	ROM
0.16	-0.121791868265626	-0.176881117105778	-0.0667026194254749	409	na.omit	1	ROM
0.16	-0.119223202870916	-0.174242295611045	-0.0642041101307881	409	na.omit	1	ROM
0.17	-0.130152804251301	-0.185745541889531	-0.0745600666130714	404	na.omit	1	ROM
0.17	-0.126864239008242	-0.182397293003412	-0.0713311850130726	404	na.omit	1	ROM
0.18	-0.113810392018337	-0.168944715750391	-0.0586760682862831	399	na.omit	1	ROM
0.18	-0.119401198863985	-0.175829834594741	-0.0629725631332284	399	na.omit	1	ROM
0.19	-0.129259935284274	-0.18591764087727	-0.0726022296912787	394	na.omit	1	ROM
0.19	-0.130159877596622	-0.18667584656766	-0.0736439086255839	394	na.omit	1	ROM
0.2	-0.12959626457156	-0.187386239377462	-0.0718062897656586	390	na.omit	1	ROM
0.2	-0.125396459163453	-0.183709629916588	-0.0670832884103174	390	na.omit	1	ROM
0.21	-0.12519512650823	-0.182580727042195	-0.0678095259742653	385	na.omit	1	ROM
0.21	-0.100101037384537	-0.150961811071199	-0.0492402636978754	385	na.omit	1	ROM
0.22	-0.139213603636583	-0.199008221544579	-0.0794189857285878	380	na.omit	1	ROM
0.22	-0.124328526108339	-0.183894674858918	-0.064762377357759	380	na.omit	1	ROM
0.23	-0.117128385948305	-0.176186407082335	-0.0580703648142759	375	na.omit	1	ROM
0.23	-0.132519325161775	-0.192421885096886	-0.072616765226665	375	na.omit	1	ROM
0.24	-0.108008885377744	-0.159956858582991	-0.0560609121724975	370	na.omit	1	ROM
0.24	-0.115569894834565	-0.175973295541663	-0.055166494127467	370	na.omit	1	ROM
0.25	-0.13644118066873	-0.19681667855481	-0.0760656827826501	365	na.omit	1	ROM
0.25	-0.132690582367346	-0.194804798320863	-0.0705763664138302	365	na.omit	1	ROM
0.26	-0.143430867106764	-0.20541398924257	-0.0814477449709591	360	na.omit	1	ROM
0.26	-0.087565262616224	-0.14122079115292	-0.0339097340795278	360	na.omit	1	ROM
0.27	-0.12370372172	-0.185986565491701	-0.0614208779482981	356	na.omit	1	ROM
0.27	-0.13667516035481	-0.200271996596031	-0.0730783241135898	356	na.omit	1	ROM
0.28	-0.154097073170907	-0.218315697901986	-0.0898784484398289	351	na.omit	1	ROM
0.28	-0.143197125636451	-0.206739205217507	-0.0796550460553956	351	na.omit	1	ROM
0.29	-0.101827202046583	-0.157527246636052	-0.0461271574571144	346	na.omit	1	ROM
0.29	-0.136359854390968	-0.200396801744124	-0.0723229070378129	346	na.omit	1	ROM
0.3	-0.108400307485402	-0.171386888747643	-0.0454137262231607	341	na.omit	1	ROM
0.3	-0.135710779148579	-0.202154523882133	-0.0692670344150256	341	na.omit	1	ROM
0.31	-0.156133316560831	-0.222035996269851	-0.0902306368518109	336	na.omit	1	ROM
0.31	-0.141381059343033	-0.207994830201267	-0.0747672884847989	336	na.omit	1	ROM
0.32	-0.148807625445395	-0.215726884378248	-0.0818883665125418	331	na.omit	1	ROM
0.32	-0.138871713243814	-0.204055407574184	-0.073688018913444	331	na.omit	1	ROM
0.33	-0.111956929614286	-0.178683344747096	-0.0452305144814747	326	na.omit	1	ROM
0.33	-0.136165841963947	-0.201578279298701	-0.0707534046291925	326	na.omit	1	ROM
0.34	-0.136289531933408	-0.201786625645999	-0.0707924382208174	321	na.omit	1	ROM
0.34	-0.110049560748806	-0.167427083605227	-0.0526720378923846	321	na.omit	1	ROM
0.35	-0.145633899576775	-0.210127764170166	-0.0811400349833835	317	na.omit	1	ROM
0.35	-0.117460207681966	-0.177409456461381	-0.0575109589025499	317	na.omit	1	ROM
0.36	-0.16116340138679	-0.23173571080272	-0.0905910919708591	312	na.omit	1	ROM
0.36	-0.153435298641437	-0.227196140573388	-0.0796744567094856	312	na.omit	1	ROM
0.37	-0.160843122098525	-0.23299034599565	-0.0886958982014013	307	na.omit	1	ROM
0.37	-0.123923229579231	-0.187140285328619	-0.0607061738298438	307	na.omit	1	ROM
0.38	-0.147986724668289	-0.220621807527146	-0.0753516418094314	302	na.omit	1	ROM
0.38	-0.172589023548826	-0.243256729991995	-0.101921317105657	302	na.omit	1	ROM
0.39	-0.148373024103437	-0.221428238051658	-0.075317810155216	297	na.omit	1	ROM
0.39	-0.12908662792979	-0.195563010814872	-0.0626102450447085	297	na.omit	1	ROM
0.4	-0.1260370561427	-0.188516746337051	-0.0635573659483489	292	na.omit	1	ROM
0.4	-0.164554685371394	-0.23791371147902	-0.0911956592637669	292	na.omit	1	ROM
0.41	-0.116355416930874	-0.179660036426763	-0.053050797434984	287	na.omit	1	ROM
0.41	-0.166038665362807	-0.240781596529375	-0.0912957341962385	287	na.omit	1	ROM
0.42	-0.131807959038561	-0.198783963601205	-0.0648319544759183	282	na.omit	1	ROM
0.42	-0.14595605148282	-0.219785190111352	-0.0721269128542887	282	na.omit	1	ROM
0.43	-0.156411791690935	-0.231906298210525	-0.0809172851713454	278	na.omit	1	ROM
0.43	-0.154172625349155	-0.229405577032068	-0.0789396736662424	278	na.omit	1	ROM
0.44	-0.181096074170674	-0.259222113408084	-0.102970034933264	273	na.omit	1	ROM
0.44	-0.145810237212515	-0.220939152553861	-0.0706813218711683	273	na.omit	1	ROM
0.45	-0.125770669388458	-0.201622360309958	-0.0499189784669589	268	na.omit	1	ROM
0.45	-0.138230801698329	-0.212115379808271	-0.0643462235883875	268	na.omit	1	ROM
0.46	-0.146663063272802	-0.217365944916868	-0.0759601816287361	263	na.omit	1	ROM
0.46	-0.142466529837115	-0.224320053510582	-0.0606130061636473	263	na.omit	1	ROM
