deletion_rate	grand_mean	grand_mean_lb	grand_mean_ub	sample_size_for_rma_calc	imputation_method	data_size	effect_size
0.1	-0.107287629758699	-0.154533073207841	-0.0600421863095566	487	sample	1	ROM
0.1	-0.107322226428832	-0.154785542770611	-0.0598589100870541	487	sample	1	ROM
0.15	-0.107061343477919	-0.154918804604994	-0.0592038823508437	487	sample	1	ROM
0.15	-0.109242337191919	-0.15703491843226	-0.0614497559515788	487	sample	1	ROM
0.2	-0.106533883416286	-0.154917988365217	-0.0581497784673545	487	sample	1	ROM
0.2	NA	NA	NA	NA	sample	1	ROM
0.25	-0.110876852788324	-0.159934001375623	-0.0618197042010252	487	sample	1	ROM
0.25	-0.107377306602473	-0.155306462088103	-0.0594481511168433	487	sample	1	ROM
0.3	NA	NA	NA	NA	sample	1	ROM
0.3	-0.107494917117733	-0.156155556795303	-0.0588342774401618	487	sample	1	ROM
0.35	-0.108970903272039	-0.15952449901235	-0.0584173075317288	487	sample	1	ROM
0.35	-0.107242451512409	-0.1564110419314	-0.0580738610934191	487	sample	1	ROM
0.4	-0.0878187264179412	-0.131085467497799	-0.0445519853380831	487	sample	1	ROM
0.4	-0.104867128137122	-0.150929269948352	-0.0588049863258926	487	sample	1	ROM
0.45	NA	NA	NA	NA	sample	1	ROM
0.45	-0.104798114324456	-0.149928960570132	-0.0596672680787792	487	sample	1	ROM
0.5	-0.0914283205270093	-0.136834209483566	-0.0460224315704523	487	sample	1	ROM
0.5	-0.121063059052101	-0.172471530940828	-0.0696545871633731	487	sample	1	ROM
0.55	-0.113412061719639	-0.16460008590285	-0.062224037536429	487	sample	1	ROM
0.55	-0.10184124282065	-0.152010562235597	-0.0516719234057028	487	sample	1	ROM
0.6	NA	NA	NA	NA	sample	1	ROM
0.6	-0.099666173632808	-0.146041409293727	-0.0532909379718888	487	sample	1	ROM
0.65	-0.091051005113506	-0.137275633403627	-0.0448263768233853	487	sample	1	ROM
0.65	-0.111691976208897	-0.164445297645847	-0.0589386547719477	487	sample	1	ROM
0.7	-0.116189166980483	-0.169187795704724	-0.0631905382562418	487	sample	1	ROM
0.7	NA	NA	NA	NA	sample	1	ROM
0.75	-0.0953327371877249	-0.141502508401165	-0.0491629659742843	487	sample	1	ROM
0.75	NA	NA	NA	NA	sample	1	ROM
